gml_id,oid,aktualit,art,name,schluessel,gemeinde,gmdschl
DE095402,DE095402,2023-08-19Z,Gemarkung,Eichenhofen,"095402",Seubersdorf i.d.OPf.,"09373160"
DE095284,DE095284,2023-08-19Z,Gemarkung,Matting,"095284",Pentling,"09375180"
DE094244,DE094244,2023-07-14Z,Gemarkung,Neuzirkendorf,"094244",Kirchenthumbach,"09374129"
DE093909,DE093909,2023-08-26Z,Gemarkung,Wallesau,"093909","Georgensgmünd;Roth","09576121;09576143"
DE098361,DE098361,2023-07-21Z,Gemarkung,Hohenpolding,"098361",Hohenpolding,"09177121"
DE095098,DE095098,2023-08-19Z,Gemarkung,Schachendorf,"095098",Cham,"09372116"
DE098712,DE098712,2023-08-31Z,Gemarkung,Unterschleißheim,"098712",Unterschleißheim,"09184149"
DE093737,DE093737,2023-08-16Z,Gemarkung,Oberhochstatt,"093737",Weißenburg i.Bay.,"09577177"
DE098207,DE098207,2023-08-28Z,Gemarkung,Eberstetten,"098207","Pfaffenhofen a.d.Ilm;Schweitenkirchen","09186143;09186152"
DE094865,DE094865,2023-08-05Z,Gemarkung,Unteraich,"094865",Guteneck,"09376133"
DE096997,DE096997,2023-08-29Z,Gemarkung,Langenreichen,"096997",Meitingen,"09772177"
DE094687,DE094687,2023-08-19Z,Gemarkung,Stauf,"094687","Neumarkt i.d.OPf.;Sengenthal","09373147;09373159"
DE098711,DE098711,2023-08-31Z,Gemarkung,Untermenzing,"098711",München,"09162000"
DE098690,DE098690,2023-08-31Z,Gemarkung,Neuried,"098690",Neuried,"09184132"
DE099319,DE099319,2023-08-18Z,Gemarkung,Holzhausen a.Starnberger See,"099319",Münsing,"09173137"
DE098704,DE098704,2023-08-31Z,Gemarkung,Solln,"098704",München,"09162000"
DE098678,DE098678,2023-08-31Z,Gemarkung,Heimstetten,"098678",Kirchheim b.München,"09184131"
DE093063,DE093063,2023-08-15Z,Gemarkung,Welbhausen,"093063",Uffenheim,"09575168"
DE098669,DE098669,2023-08-31Z,Gemarkung,Feldmoching,"098669",München,"09162000"
DE093457,DE093457,2023-08-30Z,Gemarkung,Reichelsdorf,"093457",Nürnberg,"09564000"
DE091714,DE091714,2023-04-05Z,Gemarkung,Stadtsteinacher Forst,"091714",Stadtsteinach,"09477156"
DE093033,DE093033,2023-08-15Z,Gemarkung,Segringen,"093033",Dinkelsbühl,"09571136"
DE098698,DE098698,2023-08-31Z,Gemarkung,Perlach,"098698",München,"09162000"
DE098236,DE098236,2023-08-28Z,Gemarkung,Ilmmünster,"098236",Ilmmünster,"09186130"
DE098227,DE098227,2023-08-28Z,Gemarkung,Geroldshausen i.d.Hallertau,"098227",Wolnzach,"09186162"
DE096803,DE096803,2023-08-08Z,Gemarkung,Fronhofen,"096803",Bissingen,"09773117"
DE097795,DE097795,2023-04-20Z,Gemarkung,Saulengrain,"097795",Apfeltrach,"09778113"
DE098660,DE098660,2023-08-31Z,Gemarkung,Allach,"098660",München,"09162000"
DE098666,DE098666,2023-08-31Z,Gemarkung,Daglfing,"098666",München,"09162000"
DE093445,DE093445,2023-08-30Z,Gemarkung,Mögeldorf,"093445",Nürnberg,"09564000"
DE099241,DE099241,2023-08-12Z,Gemarkung,Bad Kohlgrub,"099241",Bad Kohlgrub,"09180112"
DE098696,DE098696,2023-08-31Z,Gemarkung,Pasing,"098696",München,"09162000"
DE098694,DE098694,2023-08-31Z,Gemarkung,Obermenzing,"098694",München,"09162000"
DE090894,DE090894,2023-08-25Z,Gemarkung,Schonungen,"090894",Schonungen,"09678174"
DE098641,DE098641,2023-08-31Z,Gemarkung,Ried,"098641",Markt Indersdorf,"09174131"
DE098212,DE098212,2023-08-03Z,Gemarkung,Scheyern,"098212",Scheyern,"09186151"
DE092901,DE092901,2023-08-15Z,Gemarkung,Adelhofen,"092901",Simmershofen,"09575163"
DE094411,DE094411,2023-08-01Z,Gemarkung,Großenschwand,"094411",Tännesberg,"09374159"
DE097003,DE097003,2023-07-11Z,Gemarkung,Biberbach,"097003",Biberbach,"09772121"
DE095109,DE095109,2023-08-05Z,Gemarkung,Ansdorf,"095109",Hohenwarth,"09372135"
DE095075,DE095075,2023-08-26Z,Gemarkung,Altenkreith,"095075",Roding,"09372153"
DE098636,DE098636,2023-08-31Z,Gemarkung,Pellheim,"098636",Dachau,"09174115"
